Cage_ID,Veg_Type,Pred_Type,Artesima_PercCover,Solidago_PercCover,Grass_PercCover,Bare_PercCover,Uncovered_Checkerboard
AH1,Artemisia,Herbivore,35,0,30,35,26
AH2,Artemisia,Herbivore,45,0,40,15,21
AH3,Artemisia,Herbivore,60,0,30,10,32
AH4,Artemisia,Herbivore,50,0,35,15,23
AH5,Artemisia,Herbivore,60,0,20,20,23
AH6,Artemisia,Herbivore,40,0,50,10,17
AH7,Artemisia,Herbivore,65,0,30,5,24
AP1,Artemisia,Predator,55,0,10,35,18
AP2,Artemisia,Predator,80,0,10,10,16
AP3,Artemisia,Predator,65,0,25,10,28
AP4,Artemisia,Predator,50,0,30,20,16
AP5,Artemisia,Predator,65,0,15,20,23
AP6,Artemisia,Predator,45,0,30,25,18
AP7,Artemisia,Predator,35,0,35,30,22
MH1,Mixed,Herbivore,35,35,10,20,9
MH2,Mixed,Herbivore,20,25,35,30,32
MH3,Mixed,Herbivore,25,25,35,15,21
MH4,Mixed,Herbivore,25,25,25,25,26
MH5,Mixed,Herbivore,35,25,25,15,22
MH6,Mixed,Herbivore,25,35,15,25,29
MH7,Mixed,Herbivore,45,40,5,10,6
MP1,Mixed,Predator,30,30,30,10,9
MP2,Mixed,Predator,35,30,15,20,19
MP3,Mixed,Predator,30,30,10,30,14
MP4,Mixed,Predator,45,15,15,25,14
MP5,Mixed,Predator,30,25,30,15,20
MP6,Mixed,Predator,25,35,15,25,18
MP7,Mixed,Predator,35,20,10,35,23
SH1,Solidago,Herbivore,0,35,50,15,20
SH2,Solidago,Herbivore,0,20,30,50,25
SH3,Solidago,Herbivore,0,55,20,25,10
SH4,Solidago,Herbivore,0,35,35,30,24
SH5,Solidago,Herbivore,0,70,20,10,15
SH6,Solidago,Herbivore,0,45,40,15,8
SH7,Solidago,Herbivore,0,30,35,35,21
SP1,Solidago,Predator,0,40,30,30,20
SP2,Solidago,Predator,0,35,35,30,11
SP3,Solidago,Predator,0,35,30,35,23
SP4,Solidago,Predator,0,25,40,35,29
SP5,Solidago,Predator,0,30,60,10,11
SP6,Solidago,Predator,0,45,30,25,15
SP7,Solidago,Predator,0,55,15,30,10