Stem_ID,Species,Stem_Length,Total_Intersections,Total_Leaf-Num,Total_Leaf-Area,Mass
ArtemisiaA,Artemisia,5.4,12,15,11.29,13
ArtemisiaAA,Artemisia,32.5,36,39,32.65,13.5
ArtemisiaB,Artemisia,4.75,10,11,6.82,7.5
ArtemisiaBB,Artemisia,31,36,40,33.55,12.5
ArtemisiaC,Artemisia,7,15,16,15.78,11
ArtemisiaCC,Artemisia,28,31,36,28.37,14
ArtemisiaD,Artemisia,6,14,17,12.74,14
ArtemisiaDD,Artemisia,26.5,31,36,32.48,13.5
ArtemisiaE,Artemisia,14.5,29,33,32.25,12.5
ArtemisiaEE,Artemisia,23.5,21,27,33.98,11.8
ArtemisiaF,Artemisia,15.5,18,20,17.91,11.5
ArtemisiaFF,Artemisia,25,25,32,24.87,12.5
ArtemisiaG,Artemisia,13,23,26,18.8,13
ArtemisiaGG,Artemisia,23,19,23,14.79,10.5
ArtemisiaH,Artemisia,16.5,24,27,21.38,11
ArtemisiaHH,Artemisia,22,28,31,21.65,11
ArtemisiaI,Artemisia,16.5,19,21,19.28,12
ArtemisiaII,Artemisia,21.5,22,24,18.75,11
ArtemisiaJ,Artemisia,20.5,18,21,15.98,13.5
ArtemisiaJJ,Artemisia,20.5,19,20,13.5,12.5
ArtemisiaK,Artemisia,19.5,16,18,19.95,13
ArtemisiaKK,Artemisia,18,17,19,11.02,10.5
ArtemisiaL,Artemisia,17,26,30,28.54,10
ArtemisiaLL,Artemisia,14.5,11,13,7.79,7.5
ArtemisiaM,Artemisia,13.5,22,24,26.07,13
ArtemisiaMM,Artemisia,14,21,24,24.14,10.5
ArtemisiaN,Artemisia,14,22,24,15.05,14.5
ArtemisiaNN,Artemisia,21,19,21,22.46,11.5
ArtemisiaO,Artemisia,12,23,26,23.25,11
ArtemisiaOO,Artemisia,9,7,21,15.44,10.5
ArtemisiaP,Artemisia,25.5,20,24,17.54,10
ArtemisiaPP,Artemisia,27,24,30,38,12
ArtemisiaQ,Artemisia,30,50,68,77.02,14.5
ArtemisiaQQ,Artemisia,26,31,46,137,12.5
ArtemisiaR,Artemisia,27,21,26,16.46,9.5
ArtemisiaRR,Artemisia,17.5,16,17,17.2,11
ArtemisiaS,Artemisia,19,22,25,22.75,13
ArtemisiaSS,Artemisia,12.5,19,24,14.84,11.5
ArtemisiaT,Artemisia,16,20,20,22.87,8.5
ArtemisiaTT,Artemisia,9.5,16,17,9.09,7
ArtemisiaU,Artemisia,11.5,20,20,13.98,11.5
ArtemisiaUU,Artemisia,29,50,89,104.89,12.5
ArtemisiaV,Artemisia,15,19,19,20.14,12
ArtemisiaVV,Artemisia,23,24,30,17.89,12.5
ArtemisiaW,Artemisia,21.5,23,39,51.44,12
ArtemisiaWW,Artemisia,17,27,31,27.69,10.5
ArtemisiaX,Artemisia,16.5,24,29,27.12,9
ArtemisiaXX,Artemisia,16.5,29,33,26.18,10.5
ArtemisiaY,Artemisia,17.5,11,13,7.6,11
ArtemisiaZ,Artemisia,13,18,25,13.98,11.5
SolidagoA,Solidago,22.25,48,50,40.27,15
SolidagoAA,Solidago,21,37,40,22.18,9.5
SolidagoB,Solidago,8.9,37,38,16.93,15
SolidagoBB,Solidago,27.5,56,62,49.29,10.5
SolidagoC,Solidago,8.33,34,34,13.75,11
SolidagoCC,Solidago,9.5,24,26,13.13,12
SolidagoD,Solidago,16.55,38,38,18.63,11
SolidagoDD,Solidago,34,79,93,86.54,13
SolidagoE,Solidago,6.5,18,21,6.09,12.5
SolidagoEE,Solidago,10.5,34,38,15.17,6
SolidagoF,Solidago,11.75,42,47,23.7,14.5
SolidagoFF,Solidago,25,60,72,61.95,10.5
SolidagoG,Solidago,13.5,27,29,14.76,13
SolidagoGG,Solidago,36.5,80,88,62.04,14
SolidagoH,Solidago,12,30,32,16.41,13.5
SolidagoHH,Solidago,12,25,29,12.41,10.5
SolidagoI,Solidago,11.75,31,33,13.26,13
SolidagoII,Solidago,30,78,84,68.24,12.5
SolidagoJ,Solidago,12.5,32,38,14.85,12.5
SolidagoJJ,Solidago,17.5,36,40,23.71,10.5
SolidagoK,Solidago,20.5,40,48,36.31,10.5
SolidagoKK,Solidago,32,70,76,72.05,11.5
SolidagoL,Solidago,24.5,56,59,39.96,10.5
SolidagoLL,Solidago,33,52,53,62.72,9
SolidagoM,Solidago,33.5,80,94,95.06,13
SolidagoMM,Solidago,29,66,75,62.27,13
SolidagoN,Solidago,30,67,68,47.7,12.5
SolidagoNN,Solidago,26.5,61,66,39.11,10.5
SolidagoO,Solidago,34,59,62,67.24,11
SolidagoOO,Solidago,24.5,49,54,35.53,14.5
SolidagoP,Solidago,28.5,66,77,56.42,10
SolidagoPP,Solidago,23,54,60,42.71,15.5
SolidagoQ,Solidago,26.5,57,67,51.82,10.5
SolidagoQQ,Solidago,20.5,42,52,32.92,12
SolidagoR,Solidago,23,45,50,40.87,10.5
SolidagoRR,Solidago,21.5,59,61,52.57,11.5
SolidagoS,Solidago,33.5,80,82,63.91,10
SolidagoSS,Solidago,19,39,49,37.96,10.5
SolidagoT,Solidago,15.5,32,37,15.21,11.5
SolidagoTT,Solidago,22,60,64,56.04,9
SolidagoU,Solidago,19.5,47,49,36.01,12.5
SolidagoUU,Solidago,18.5,48,52,33.79,10.5
SolidagoV,Solidago,27,54,79,63.3,12.5
SolidagoVV,Solidago,16,30,33,20.11,11
SolidagoW,Solidago,20,43,50,38.44,12
SolidagoWW,Solidago,13.5,24,27,14,11
SolidagoX,Solidago,28,59,61,45.26,12.5
SolidagoXX,Solidago,11.5,24,27,10.76,7
SolidagoY,Solidago,25,46,47,49.79,10.5
SolidagoZ,Solidago,17,52,60,24.14,14.5